wage, hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12
817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16
812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12
577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12
756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12
1011,40,104,43,12,20,7,37,1,0,1,1,0,1,-1,-1
1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12
1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10
1350,40,107,37,12,17,12,35,1,0,0,0,2,3,-1,-1
1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10
796,48,119,31,13,16,15,37,1,1,0,1,7,1,11,-1
1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11
754,40,93,31,12,13,1,30,1,0,0,1,5,-1,-1,-1
714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12
1000,45,103,29,15,8,3,32,1,0,0,1,3,4,12,-1
2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12
912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12
600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8
951,40,86,33,11,13,1,31,1,0,0,1,3,4,9,-1
711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12
1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12
1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12
841,44,106,40,12,15,10,31,1,0,0,1,5,6,8,-1
400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8
1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4
1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12
1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10
538,55,98,45,18,5,1,34,1,0,0,1,2,2,13,-1
781,40,89,24,11,13,10,30,1,0,0,1,3,1,9,8
750,60,74,23,10,13,9,30,1,0,0,1,4,2,11,9
841,48,110,37,18,13,1,37,0,1,0,1,1,1,12,12
700,50,130,29,13,14,1,38,1,0,0,1,1,2,11,14
1346,50,108,51,16,9,4,36,1,0,0,1,1,2,12,10
800,45,98,31,12,16,12,33,1,0,0,0,3,4,10,8
1250,40,125,27,16,9,10,30,1,0,0,1,3,1,16,-1
1105,40,104,29,16,5,8,29,1,0,0,1,3,1,12,12
475,52,98,33,14,12,1,30,0,0,0,1,6,1,8,10
762,58,104,37,15,6,4,33,1,0,0,0,2,1,11,12
962,40,120,33,12,18,19,36,1,0,0,1,3,-1,8,8
721,40,134,38,13,9,9,30,0,0,1,1,3,3,8,8
800,50,92,28,9,18,13,34,1,0,0,1,0,1,8,8
658,40,129,34,16,11,9,30,1,0,0,1,2,1,13,16
1270,40,118,42,14,4,16,36,1,0,0,1,2,1,12,12
1313,40,107,37,12,11,7,28,1,0,0,0,1,-1,12,-1
824,42,92,37,12,19,15,38,1,0,0,1,1,1,12,11
1442,40,118,33,16,6,7,29,1,0,0,1,2,1,16,12
1400,42,108,38,17,7,3,31,1,0,0,1,2,1,12,14
1038,50,119,42,12,20,5,36,1,0,0,0,3,3,12,8
668,43,109,29,12,11,12,29,1,0,0,0,2,3,8,7
1100,40,91,41,12,18,10,36,1,0,0,0,2,3,8,8
1000,45,118,38,14,9,7,30,1,0,0,1,3,1,12,10
523,43,119,37,13,9,2,30,1,0,0,0,4,1,14,-1
1111,40,103,33,14,13,13,31,1,0,0,0,6,3,14,12
962,40,120,25,16,6,4,28,1,0,0,0,4,3,12,8
729,47,122,40,18,6,13,34,1,0,0,1,3,3,8,6
690,40,119,35,12,9,5,28,1,0,0,1,1,2,8,-1
1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6
600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8
596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8
850,44,115,37,12,11,1,29,1,0,0,1,3,2,-1,-1
670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8
793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8
1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6
670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7
876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12
841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12
975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12
1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10
910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14
533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12
750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12
1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12
745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8
900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6
1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12
540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12
550,40,110,35,16,15,1,38,1,0,0,0,2,1,-1,-1
615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12
909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12
769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8
984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8
833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,-1
879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16
1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5
1000,55,114,41,16,10,1,33,1,0,1,0,0,1,-1,-1
465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11
1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,-1
641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11
1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8
1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9
950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12
938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,-1
1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8
586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11
693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12
562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12
375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8
673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,-1
654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10
692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,-1
1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15
1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16
1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12
1250,60,115,40,11,19,4,38,1,0,0,1,1,2,-1,-1
1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10
1424,50,96,47,17,15,12,37,1,0,0,1,2,3,-1,-1
854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16
888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10
1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,-1
583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9
1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13
947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12
1850,40,80,23,11,14,15,33,1,0,0,1,3,-1,10,10
1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10
758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12
1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8
489,55,104,47,13,20,4,38,1,0,1,1,2,2,-1,-1
1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10
1000,40,70,18,12,12,5,32,0,1,0,1,6,-1,8,8
500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6
1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6
565,45,82,30,10,15,3,33,1,0,0,0,4,4,-1,-1
1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8
684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12
774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7
233,60,96,32,16,7,4,30,1,0,0,0,3,-1,12,8
975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13
1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12
2137,40,120,48,16,16,3,37,1,0,1,1,3,3,12,12
700,40,120,38,16,10,1,29,1,0,1,1,1,1,12,12
1200,40,108,29,12,16,11,33,1,0,0,1,3,2,8,-1
1161,40,99,43,13,16,18,36,1,0,0,1,0,1,12,8
729,60,80,31,11,16,15,34,1,0,0,1,6,1,12,6
750,45,93,45,11,17,2,36,1,0,0,1,1,2,10,5
1026,45,85,46,12,4,16,38,1,0,0,1,1,2,-1,-1
1111,45,118,43,15,11,3,32,1,0,0,1,3,1,11,10
625,50,115,31,12,12,8,31,1,0,0,1,2,3,12,-1
1200,42,119,28,16,11,5,30,1,0,0,1,5,1,10,11
1541,40,94,39,12,8,1,32,1,0,0,1,8,3,12,11
1154,40,109,42,16,12,9,34,1,0,0,1,0,1,13,16
310,40,104,37,13,10,0,33,0,0,0,0,2,1,14,8
610,50,89,21,12,14,4,30,1,0,0,0,1,2,7,6
1749,43,101,28,12,16,17,36,1,0,0,0,2,2,12,8
1000,40,96,34,16,9,1,31,0,0,1,1,4,2,12,7
350,40,109,48,12,14,1,36,1,0,0,0,1,1,9,7
765,45,94,38,12,17,18,37,1,0,0,0,10,6,4,6
790,40,115,34,12,15,2,34,1,0,0,0,6,5,6,5
818,47,92,41,12,16,17,38,1,0,0,0,12,1,8,4
477,60,71,32,9,12,1,30,1,0,0,0,4,2,11,5
938,50,130,39,14,15,1,33,1,0,0,0,3,1,12,11
2099,55,119,38,16,10,4,32,1,0,0,1,0,1,12,12
350,40,74,24,12,14,3,32,1,0,0,1,4,2,10,13
940,48,104,25,12,13,0,32,1,1,0,1,7,2,12,8
1202,40,124,23,15,11,8,28,1,0,0,1,2,2,10,-1
450,40,94,29,15,9,4,31,1,0,0,0,1,1,12,-1
1058,40,120,44,16,16,13,37,1,0,0,0,5,4,12,4
1000,40,96,40,11,15,15,37,1,0,0,1,5,5,8,9
318,40,67,35,12,16,5,36,1,1,1,1,6,-1,7,5
556,40,69,26,11,13,9,34,0,1,0,1,3,-1,8,8
958,60,98,42,12,11,9,28,1,0,0,1,0,1,12,11
995,40,92,23,9,22,13,38,1,1,0,1,7,3,7,4
1600,50,109,44,14,16,5,33,1,0,0,0,2,-1,9,10
606,45,100,39,18,6,5,30,0,0,0,0,1,-1,12,12
511,45,101,25,12,13,1,30,1,0,0,1,4,2,11,12
1411,45,111,40,16,11,12,32,1,0,1,1,1,1,12,9
1346,40,106,38,16,15,11,37,1,0,0,1,1,1,8,14
1522,46,102,37,12,15,16,37,1,0,0,0,3,2,12,10
1075,40,115,28,14,9,10,30,1,0,0,0,2,1,12,10
1200,50,99,37,12,11,11,28,1,0,0,1,5,4,10,8
1377,37,118,48,16,15,1,36,1,0,0,1,2,2,11,10
874,55,132,37,13,8,2,33,1,0,0,0,2,1,13,16
625,40,108,26,13,11,9,30,1,0,0,1,3,-1,12,16
1250,32,98,40,12,17,2,33,1,0,0,1,0,1,14,10
1082,40,111,44,13,20,12,36,1,0,0,1,4,2,8,11
693,40,79,36,11,18,3,38,1,0,0,0,3,2,8,8
727,55,97,29,12,11,11,31,1,0,0,0,3,1,12,11
615,50,99,49,15,16,15,38,1,0,0,0,2,3,12,14
913,40,101,33,16,5,7,31,1,0,0,1,2,3,12,-1
884,46,120,45,17,4,10,36,1,0,0,0,2,1,12,18
698,43,97,33,12,10,4,29,1,0,0,1,2,3,8,8
800,55,106,34,12,17,18,36,1,0,0,0,3,3,8,12
812,40,131,44,16,9,3,30,0,0,0,0,1,1,12,12
1000,40,93,32,11,16,14,34,1,0,0,1,1,-1,12,8
549,49,79,23,12,11,3,32,0,0,0,0,4,2,8,8
1300,35,100,38,12,13,15,31,1,0,0,1,4,2,11,-1
923,50,107,30,16,9,8,33,1,0,0,1,6,4,9,8
1539,40,112,42,12,15,15,32,1,0,0,0,3,1,-1,10
721,40,105,22,12,11,9,30,1,0,0,0,3,2,12,10
815,40,114,25,12,15,14,31,1,0,0,0,2,1,12,10
600,80,116,36,12,20,2,38,1,0,0,0,10,10,8,-1
1100,40,104,41,12,18,7,37,1,0,0,1,2,3,11,13
1058,40,85,48,12,18,19,35,1,0,0,1,2,1,9,12
962,40,93,46,12,15,1,30,1,0,0,1,2,2,9,12
433,50,100,40,12,5,9,37,1,0,0,0,2,2,8,7
940,40,71,20,11,9,2,29,1,0,0,0,2,3,-1,-1
1417,38,88,36,16,9,10,32,0,0,0,1,2,1,12,12
1000,65,93,32,12,11,9,29,1,0,0,1,7,1,12,8
500,40,98,26,13,14,5,32,1,0,0,0,3,4,12,8
800,50,110,35,14,8,5,28,1,0,0,1,3,4,12,10
766,40,109,31,12,17,18,35,1,0,0,0,4,3,-1,6
750,43,94,38,14,12,10,33,1,0,0,0,1,1,11,12
550,40,77,36,12,15,2,37,1,0,0,0,6,3,8,8
795,52,89,35,11,16,4,34,1,0,0,1,6,1,-1,-1
723,40,102,44,12,12,10,30,1,0,0,1,10,6,12,6
1039,40,113,49,14,12,8,34,1,0,0,1,1,2,16,14
200,55,103,38,10,11,15,32,1,0,1,1,3,2,12,5
400,40,90,36,10,12,1,32,1,1,0,1,5,3,8,-1
575,40,96,31,11,17,1,35,1,0,1,1,2,1,12,7
850,40,97,35,11,16,5,37,1,0,1,1,1,1,12,6
508,50,87,35,12,16,1,32,1,1,1,1,2,1,10,-1
1162,45,89,39,12,11,4,37,1,0,1,1,3,3,15,-1
1199,43,70,28,13,13,5,30,1,1,1,1,3,1,8,-1
1270,40,104,34,16,8,4,31,1,0,1,1,3,4,16,17
350,45,116,36,16,5,3,33,1,0,1,1,2,2,11,12
963,40,85,32,14,9,9,28,1,1,1,1,5,1,7,-1
1463,45,104,47,15,14,11,37,1,0,1,1,3,4,12,12
802,40,99,26,12,13,12,29,1,1,1,1,8,6,9,12
642,45,93,18,12,12,7,30,1,1,1,1,1,2,6,6
751,40,114,37,13,9,2,28,1,0,1,1,2,2,12,10
488,40,103,40,17,5,3,31,1,0,1,1,1,-1,12,16
1400,40,92,34,12,15,5,36,1,0,1,1,2,1,6,2
940,45,98,41,18,10,7,31,1,0,1,1,2,2,8,12
866,40,114,48,13,15,16,37,1,0,1,1,3,1,12,-1
675,40,77,42,12,20,4,38,1,1,1,1,5,2,12,6
375,40,89,24,14,9,3,30,1,1,1,1,3,1,13,-1
325,40,93,44,14,10,1,33,1,1,1,1,1,-1,16,-1
346,40,110,37,12,16,17,38,1,0,1,1,2,-1,12,5
1442,40,132,39,17,8,1,33,1,0,1,1,3,1,8,12
560,49,112,37,16,13,2,32,1,0,1,0,3,1,8,2
550,56,99,42,12,17,11,36,1,0,1,1,1,2,12,12
950,44,96,26,16,8,10,32,1,1,1,1,1,2,10,-1
684,45,106,45,13,16,2,38,1,0,1,1,1,1,12,14
1322,40,128,43,16,7,1,33,1,0,1,1,0,1,18,-1
1634,40,95,48,12,18,3,38,1,0,1,1,3,3,-1,3
417,40,80,30,12,8,0,30,0,0,1,1,3,4,8,7
472,45,71,24,11,9,0,32,1,0,1,1,13,6,6,6
666,50,89,28,12,16,1,34,1,1,1,1,6,1,9,-1
1679,55,127,45,18,10,3,32,1,0,1,1,1,2,12,16
1039,40,114,43,16,1,9,31,0,0,1,1,6,5,8,8
1250,40,102,30,13,13,11,30,1,0,1,1,5,6,7,-1
760,40,88,34,12,12,15,31,1,0,1,1,2,1,12,7
1154,42,88,32,12,14,12,29,1,0,1,1,2,2,12,7
1602,60,110,45,15,14,1,37,1,0,0,1,5,1,14,12
1442,40,110,40,13,13,13,29,1,1,1,1,1,2,7,9
865,40,130,39,16,5,3,30,1,0,0,1,4,2,8,12
705,50,100,44,12,15,12,36,1,0,1,1,1,2,-1,-1
1000,40,101,36,12,16,1,35,1,0,1,1,1,1,12,-1
852,44,89,36,10,13,9,32,1,0,1,1,6,7,9,-1
770,40,80,25,12,16,14,35,1,0,0,1,1,2,12,12
1000,40,72,20,12,16,9,34,1,0,0,1,3,4,12,12
1329,55,115,56,18,10,5,36,1,0,0,1,1,1,12,12
1682,40,115,48,16,10,4,37,1,0,1,1,1,2,12,17
577,55,108,47,16,4,0,31,1,1,1,1,2,2,8,8
685,40,93,27,12,17,7,38,0,0,1,1,6,6,8,3
577,40,111,37,16,8,8,29,0,1,1,1,1,1,18,18
1040,40,101,38,12,19,9,38,1,1,1,1,6,1,11,12
1250,40,92,42,16,10,11,32,0,0,1,1,1,1,12,10
600,40,115,40,13,7,7,28,0,0,1,1,4,5,5,-1
480,40,76,29,12,17,3,35,0,1,1,1,8,5,11,10
1000,40,93,26,11,11,0,29,1,0,1,1,5,3,12,12
988,48,91,39,12,15,15,36,1,0,1,1,1,2,8,8
478,45,90,35,10,19,10,34,1,0,1,1,2,1,9,9
440,40,84,23,12,11,2,30,1,1,1,1,5,3,9,4
485,40,120,43,12,11,1,30,1,1,1,1,6,6,-1,-1
705,40,89,32,9,19,0,36,1,1,1,1,0,1,-1,-1
1550,40,104,47,12,16,1,34,1,0,1,0,8,4,9,10
960,40,107,23,12,11,9,29,1,1,1,1,11,2,6,9
1000,40,100,42,12,16,14,32,1,0,1,1,2,3,12,12
625,40,129,40,18,4,5,36,1,0,1,0,3,1,15,15
1346,40,112,39,16,14,14,35,1,0,0,1,0,1,12,16
961,40,76,17,12,13,13,31,0,1,0,1,13,5,-1,8
479,40,97,45,12,15,1,38,1,0,1,0,3,4,-1,-1
1201,50,98,38,11,17,16,36,1,0,1,0,4,5,11,2
1346,45,60,34,16,8,2,31,1,0,1,1,2,3,-1,-1
1122,35,132,45,18,13,8,32,1,0,1,1,2,3,12,7
543,45,90,31,14,5,7,38,1,1,1,1,1,2,6,-1
450,40,63,26,11,12,4,31,1,1,1,1,7,2,7,-1
507,55,110,36,14,10,4,32,1,0,1,1,2,2,13,16
547,60,88,38,11,17,5,34,1,0,1,1,4,5,-1,-1
586,56,98,41,11,18,16,35,1,0,1,1,2,2,-1,6
462,55,61,24,12,6,4,29,1,1,1,0,9,-1,8,3
705,40,76,32,12,13,8,37,1,1,0,1,5,-1,-1,-1
1566,40,127,44,12,7,1,29,1,0,0,1,3,2,11,-1
1634,40,94,39,13,18,18,36,1,0,1,1,2,2,8,8
1282,45,97,48,16,4,1,32,1,0,0,1,11,3,16,16
556,40,127,44,16,6,2,31,1,1,1,1,2,1,12,12
1200,40,109,42,15,7,8,33,1,0,0,1,2,1,11,12
855,45,89,21,12,6,6,31,1,0,1,0,4,3,3,3
1053,40,90,33,12,18,7,37,1,0,1,0,1,1,11,11
1000,48,105,39,12,11,4,28,1,0,1,0,0,1,12,7
900,55,100,27,12,18,5,34,0,0,0,1,2,2,8,-1
1602,45,111,40,16,10,10,31,1,0,1,0,1,-1,16,12
508,50,125,44,17,9,2,31,1,0,1,1,3,1,16,13
1500,60,124,20,16,6,6,29,1,0,1,0,2,-1,12,10
1682,50,107,41,14,15,9,32,1,0,1,1,0,1,12,12
750,40,110,45,13,13,1,35,1,0,1,1,2,-1,12,16
843,40,102,32,14,8,7,29,1,0,1,0,1,1,16,16
409,40,93,26,12,17,18,38,0,0,1,0,0,1,-1,-1
1004,40,81,36,12,17,15,34,1,0,1,0,1,1,12,-1
650,40,99,36,12,13,10,30,1,0,1,0,1,2,12,10
808,40,93,26,12,17,9,37,1,1,1,0,4,1,-1,-1
2137,45,102,35,13,8,2,30,1,0,1,0,0,1,12,12
761,48,95,44,12,14,21,38,1,0,1,1,1,1,12,5
769,40,98,37,16,8,3,35,0,0,1,1,0,1,11,8
345,40,84,28,12,7,8,31,1,1,1,1,2,2,-1,-1
495,40,88,30,12,6,10,31,1,0,1,1,2,1,-1,7
987,38,109,41,16,9,3,31,1,0,1,1,3,4,4,-1
2500,60,82,41,12,21,1,38,1,0,1,0,3,3,8,5
1098,45,105,22,14,6,1,32,0,0,1,1,1,2,12,-1
1212,40,95,36,12,6,16,38,1,0,1,0,3,1,12,8
577,40,92,33,15,8,1,28,1,1,1,1,1,2,10,7
390,59,74,26,15,10,3,30,1,1,1,1,3,3,7,6
